25.18	11.50	7.60	6.60	19.42	9.29	6.74	5.74
24.88	11.38	7.49	6.50	19.20	9.20	6.64	5.66
24.57	11.27	7.39	6.41	18.98	9.10	6.55	5.57
24.27	11.15	7.28	6.31	18.76	9.01	6.45	5.49
23.97	11.03	7.18	6.22	18.54	8.92	6.35	5.40
23.67	10.91	7.07	6.12	18.32	8.83	6.25	5.32
23.36	10.80	6.97	6.03	18.10	8.73	6.16	5.23
23.06	10.68	6.86	5.93	17.88	8.64	6.06	5.15
22.76	10.56	6.75	5.84	17.66	8.55	5.96	5.06
22.46	10.44	6.65	5.74	17.44	8.46	5.86	4.98
22.15	10.33	6.54	5.65	17.22	8.36	5.77	4.89
21.85	10.21	6.44	5.55	17.00	8.27	5.67	4.81
21.55	10.09	6.33	5.46	16.78	8.18	5.57	4.72
21.25	9.97	6.23	5.36	16.56	8.09	5.47	4.64
20.94	9.86	6.12	5.27	16.34	7.99	5.38	4.55
20.64	9.74	6.02	5.17	16.12	7.90	5.28	4.47
20.34	9.62	5.91	5.08	15.90	7.81	5.18	4.38
20.04	9.50	5.80	4.98	15.68	7.72	5.08	4.30
19.73	9.39	5.70	4.89	15.46	7.62	4.99	4.21
19.43	9.27	5.59	4.79	15.24	7.53	4.89	4.13
19.13	9.15	5.49	4.70	15.02	7.44	4.79	4.04
18.83	9.03	5.38	4.60	14.80	7.35	4.69	3.96
18.52	8.92	5.28	4.51	14.58	7.25	4.60	3.87
18.22	8.80	5.17	4.41	14.35	7.16	4.50	3.79
17.92	8.68	5.06	4.31	14.13	7.07	4.40	3.70
17.61	8.57	4.96	4.22	13.91	6.97	4.31	3.62
17.31	8.45	4.85	4.12	13.69	6.88	4.21	3.53
17.01	8.33	4.75	4.03	13.47	6.79	4.11	3.45
16.71	8.21	4.64	3.93	13.25	6.70	4.01	3.36
16.40	8.10	4.54	3.84	13.03	6.60	3.92	3.28
16.10	7.98	4.43	3.74	12.81	6.51	3.82	3.19
15.80	7.86	4.32	3.65	12.59	6.42	3.72	3.11
15.50	7.74	4.22	3.55	12.37	6.33	3.62	3.02
15.19	7.63	4.11	3.46	12.15	6.23	3.53	2.94
14.89	7.51	4.01	3.36	11.93	6.14	3.43	2.85
14.59	7.39	3.90	3.27	11.71	6.05	3.33	2.77
14.29	7.27	3.80	3.17	11.49	5.96	3.23	2.68
13.98	7.16	3.69	3.08	11.27	5.86	3.14	2.60
13.68	7.04	3.59	2.98	11.05	5.77	3.04	2.51
13.38	6.92	3.48	2.89	10.83	5.68	2.94	2.43
13.08	6.80	3.37	2.79	10.61	5.59	2.84	2.34
12.77	6.69	3.27	2.70	10.39	5.49	2.75	2.26
12.47	6.57	3.16	2.60	10.17	5.40	2.65	2.17
12.17	6.45	3.06	2.51	9.95	5.31	2.55	2.09
11.87	6.33	2.95	2.41	9.73	5.22	2.45	2.00
11.56	6.22	2.85	2.32	9.51	5.12	2.36	1.92
11.26	6.10	2.74	2.22	9.29	5.03	2.26	1.83
10.96	5.98	2.63	2.12	9.07	4.94	2.16	1.75
10.65	5.87	2.53	2.03	8.85	4.84	2.07	1.66
10.35	5.75	2.42	1.93	8.63	4.75	1.97	1.58
10.05	5.63	2.32	1.84	8.41	4.66	1.87	1.49
9.75	5.51	2.21	1.74	8.19	4.57	1.77	1.41
9.44	5.40	2.11	1.65	7.97	4.47	1.68	1.32
9.14	5.28	2.00	1.55	7.75	4.38	1.58	1.24
8.84	5.16	1.89	1.46	7.53	4.29	1.48	1.15
8.54	5.04	1.79	1.36	7.31	4.20	1.38	1.07
8.23	4.93	1.68	1.27	7.09	4.10	1.29	0.98
